symbol,qty,exit_price,pnl,date
TSLA,72.413,0.0,0.0,2025-08-26 08:57:29.400348
TSLA,72.413,0.0,0.0,2025-08-26 09:02:51.796718
TSLA,72.413,0.0,0.0,2025-08-26 09:03:53.653264
TSLA,72.413,0.0,0.0,2025-08-26 09:04:55.554522
TSLA,72.413,0.0,0.0,2025-08-26 09:05:57.405076
TSLA,72.413,0.0,0.0,2025-08-26 09:06:59.313151
TSLA,72.413,0.0,0.0,2025-08-26 09:08:01.429761
TSLA,72.413,0.0,0.0,2025-08-26 09:09:03.299643
TSLA,72.413,0.0,0.0,2025-08-26 09:10:05.225785
TSLA,72.413,0.0,0.0,2025-08-26 09:10:40.970189
TSLA,72.413,0.0,0.0,2025-08-26 09:11:43.010731
TSLA,72.413,0.0,0.0,2025-08-26 09:12:44.993887
TSLA,72.413,0.0,0.0,2025-08-26 09:13:47.355618
TSLA,72.413,0.0,0.0,2025-08-26 09:25:46.766022
TSLA,72.413,0.0,0.0,2025-08-26 09:26:48.857769
TSLA,72.413,0.0,0.0,2025-08-26 09:27:52.195627
